Disposition,Orbital Period,Transit Duration,Transit Depth,Planet Radius,Star Eff. Temp,Stellar log,Star Radius
Confirmed Planet,3.9228016,1.8736007,31510.9004906,13.3368705,4444.0000000,4.4380000,0.6983000
Planet Candidate,13.9428705,3.7522756,1015.3955430,2.4233421,5206.0000000,4.6309500,0.7416710
Confirmed Planet,0.6047392,1.0403847,1027.6833479,1.8625587,4046.0000000,4.6096300,0.5803370
Planet Candidate,1.6062693,1.9561305,16725.3019333,12.6436029,5192.0000000,4.4617000,0.9843260
Confirmed Planet,0.5182425,0.8565249,831.8920424,1.3485121,3325.0000000,4.8869300,0.3909890
Planet Candidate,3.1644075,2.0576293,5603.4635466,14.8814743,6519.0000000,4.2206800,1.7234000
Planet Candidate,3.9652485,1.0112593,3680.7544436,1.2305102,3296.0000000,4.9663600,0.1999880
Planet Candidate,2.9827800,3.1095280,6136.2316620,11.4670110,6027.0000000,4.2997800,1.2397500
Planet Candidate,16.3469053,3.5865698,2212.4257252,3.5059571,4310.0000000,4.5734500,0.6496130
Planet Candidate,12.9802953,2.5034417,2407.2608671,2.4241912,3614.0000000,4.8125700,0.4913230
Planet Candidate,3.2541181,4.3410000,13620.0000000,14.9476000,6102.0000000,4.2864900,1.2800000
Planet Candidate,3.7178828,5.5277827,4864.8405125,14.6986197,5818.0000000,4.3378700,2.0840001
False Positive,9.3099200,3.4640000,2220.0000000,14.2968000,6907.0000000,3.6300000,3.0900000
False Positive,4.7370300,3.9020000,2410.0000000,25.7144000,11600.0000000,4.1300000,2.4800000
False Positive,2.1929600,4.5860000,4933.7400000,22.7769000,7009.8000000,3.6000000,2.9500000
Planet Candidate,1.7258410,3.6740000,2710.0000000,15.0024000,7348.0000000,3.9000000,2.3900000
False Positive,1.1923000,3.1190000,3730.0000000,30.6660000,6534.0000000,3.9500000,2.0400000
False Positive,11.4760600,6.0830000,3050.0000000,,,,
Planet Candidate,0.5971314,0.4680000,910.0000000,9.0838200,7710.0000000,3.9800000,2.2800000
Planet Candidate,1.4821386,2.1867078,2102.6568299,13.7339261,7066.0000000,3.7800000,2.6647301
False Positive,0.9209526,1.8602735,360.8801529,5.7349089,6553.0000000,3.6500000,2.8908899
Confirmed Planet,9.1885060,2.4920000,460.0000000,2.1659100,5876.0000000,4.4800000,0.9800000
Confirmed Planet,13.9028391,2.1264429,647.2701039,2.6136848,5876.0000000,4.4800000,0.9832150
Confirmed Planet,10.1826983,2.8275109,667.4752458,3.0538057,6153.0000000,4.3481400,1.1458200
Confirmed Planet,6.4410060,1.8120000,914.0000000,2.5637400,4867.0000000,4.4380000,0.8000000
False Positive,20.0731588,3.8449215,1152.9645461,4.0506906,6033.0000000,4.3700000,1.1484900
False Positive,2.6690300,1.5480000,3110.0000000,9.3682300,5803.5000000,4.0700000,1.5600000
False Positive,6.6337100,2.1220000,1555.3400000,2.7537500,4138.1000000,4.5400000,0.6300000
Planet Candidate,2.9430800,4.0730000,4490.0000000,45.3525000,4437.0000000,,3.1300000
False Positive,341.2811281,6.3030260,972.5797241,4.7531892,6058.6000000,4.2000000,1.3920300
Planet Candidate,10.8680523,2.3750000,1553.0000000,2.9072600,4664.0000000,4.5500000,0.7600000
Planet Candidate,11.1149000,2.2600000,900.0000000,14.7645000,5042.0000000,,4.9400000
Confirmed Planet,4.0782392,4.8475616,6046.6959687,13.8981740,6501.0000000,4.0800000,1.7483600
False Positive,7.1438600,1.4670000,11146.4000000,22.1531000,7860.0000000,4.1500000,1.9100000
False Positive,7.0408300,2.9790000,1580.0000000,8.4640400,5317.0000000,4.4900000,0.9100000
False Positive,2.4545635,2.3210000,4248.0000000,11.1276000,6610.0000000,4.1500000,1.6400000
False Positive,11.4756978,0.8080000,8341.0000000,14.1098000,7262.0000000,4.0000000,2.1300000
False Positive,2.7818600,2.4560000,490.0000000,4.9256700,6819.0000000,3.9200000,2.2100000
False Positive,6.4410082,1.7980000,7076.0000000,4.5920300,3469.0000000,4.7100000,0.5300000
Planet Candidate,2.4887726,2.6320000,4852.0000000,,8048.0000000,4.4380000,
Planet Candidate,4.4519900,2.1090000,8483.3800000,15.8858000,6708.3000000,4.2000000,1.5700000
Planet Candidate,5.0100708,2.0644756,409.4812214,2.3107394,5551.0000000,4.4621400,0.9062820
Planet Candidate,2.2281625,2.0150000,630.0000000,2.5677800,5731.0000000,4.4300000,1.0200000
False Positive,4.1381200,3.9110000,5560.0000000,,4898.4000000,,
Planet Candidate,10.9566300,3.5880000,3830.0000000,23.9726000,6456.0000000,3.9200000,2.0700000
False Positive,1.6622600,3.3210000,6030.0000000,13.3343000,7301.0000000,4.2300000,1.6400000
False Positive,4.0761100,2.0620000,1454.1800000,,,,
False Positive,3.6245513,3.0420000,1299.0000000,4.3503000,6317.0000000,,1.3800000
Planet Candidate,1.2092800,1.8860000,11883.8000000,15.1764000,5159.8000000,4.2300000,1.2700000
Planet Candidate,3.5187707,2.4080000,5634.0000000,14.0061000,6690.0000000,4.2400000,1.4900000
Planet Candidate,0.7724825,1.3744974,211.3168519,4.1624907,8271.0000000,3.9500000,2.5027299
False Positive,1.6268695,3.2310000,1502.0000000,2.3649800,5034.0000000,4.6400000,0.7300000
False Positive,2.3243900,4.4530000,2704.1800000,,8268.5000000,3.9300000,
False Positive,13.5499000,1.7950000,1180.0000000,6.2463300,6209.0000000,4.0900000,1.6300000
False Positive,4.4365100,3.3650000,1520.0000000,19.9664000,7101.9000000,3.9100000,2.3200000
Confirmed Planet,8.3499800,1.8360000,16680.0000000,11.1424000,4236.0000000,4.5200000,0.7400000
Confirmed Planet,4.0686405,1.8373729,2650.0950013,3.7548333,4236.0000000,4.5200000,0.7419210
Planet Candidate,0.5860366,0.8098934,410.5241553,4.9064080,5579.0000000,3.6700000,2.3980300
False Positive,1.5502952,2.9380000,411.0000000,3.3452800,7851.0000000,4.1700000,1.8600000
False Positive,1.8070900,3.2970000,450.0000000,4.8624200,6244.0000000,3.8400000,2.2000000
False Positive,18.6922101,7.7650000,11126.0000000,18.1458000,6277.0000000,4.0900000,1.6500000
Confirmed Planet,8.0277326,4.2840000,5705.0000000,9.0688300,5962.7000000,4.3800000,1.1500000
Confirmed Planet,12.5187279,5.3800000,2320.0000000,5.5885700,5729.0000000,4.4700000,0.9800000
Confirmed Planet,6.2586065,3.2010000,813.0000000,2.5159300,5729.0000000,4.4700000,0.9800000
Confirmed Planet,26.3208756,4.4140000,800.0000000,2.7134900,5729.0000000,4.4700000,0.9800000
Confirmed Planet,18.7955470,4.3425576,470.6731965,2.1597669,5729.0000000,4.4700000,0.9777270
Planet Candidate,1.3206356,1.6000996,1052.4255997,34.7561624,4919.6000000,,6.3070302
False Positive,0.6497100,2.0760000,620.0000000,6.2318100,9994.0000000,4.0200000,2.5900000
Planet Candidate,4.4780798,4.5130000,1054.0000000,11.3678000,7947.0000000,4.2000000,1.8300000
False Positive,13.7431084,2.2850000,5688.0000000,12.0500000,5941.5000000,,1.3400000
False Positive,16.9487087,4.2887767,156467.5479643,45.2204505,5894.7000000,4.3700000,1.1179000
False Positive,3.3686634,3.0120000,3288.0000000,42.2321000,7518.0000000,3.8200000,2.6800000
False Positive,11.2071839,4.3660000,3276.0000000,17.4989000,6152.0000000,3.8400000,2.2400000
False Positive,2.9716400,1.5340000,7350.0000000,,8562.5000000,,
False Positive,0.6601790,1.6349369,473.0939303,6.1672487,8598.7000000,4.1000000,2.6243200
False Positive,10.9278415,2.4680000,2743.0000000,49.1695000,6259.0000000,3.5900000,2.9200000
Planet Candidate,2.3202418,2.3817612,5082.9417064,,8737.5000000,,
Planet Candidate,6.0360758,1.2550000,987.0000000,9.8676300,6528.3000000,4.2100000,1.6900000
Planet Candidate,21.7455370,4.1960000,659.0000000,2.1020800,5704.0000000,4.5100000,0.9300000
False Positive,1.3200300,3.1750000,552.4680000,,,,
False Positive,1.6865822,2.4290000,1770.0000000,,,,
False Positive,13.0727479,3.0440000,4080.0000000,35.7944000,5709.8000000,3.3700000,3.5900000
False Positive,2.9258727,4.0750000,6720.0000000,24.4055000,4884.5000000,,1.3000000
False Positive,0.7377400,0.6360000,524.8520000,5.2821500,6449.5000000,3.9400000,2.1000000
False Positive,2.3664127,2.5910000,300.0000000,,,,
Planet Candidate,7.3166682,3.2550000,3210.0000000,,8730.0000000,,
Planet Candidate,3.0771612,2.6914319,4703.2844346,,9311.3000000,,
False Positive,3.2077145,2.7080000,9640.0000000,,,,
False Positive,1.8824539,2.4600000,1391.0000000,8.2900800,5900.4000000,4.3900000,1.1300000
False Positive,15.1960000,1.7920000,1970.0000000,4.9634500,5807.0000000,,1.1400000
False Positive,2.1358631,1.5590000,10325.0000000,23.6019000,5969.0000000,4.1700000,1.5000000
Planet Candidate,6.7075429,2.1250000,11920.0000000,17.4647000,6134.3000000,,1.2400000
False Positive,1.8296155,2.1660000,1406.0000000,29.3616000,7875.0000000,3.6100000,3.5000000
False Positive,11.1876137,3.1830000,4924.0000000,31.8624000,7266.0000000,4.0600000,2.0500000
False Positive,7.8513949,6.8350000,22029.0000000,,,,
Confirmed Planet,7.0643978,2.4240000,8268.0000000,9.3913100,5429.6000000,4.4400000,0.9600000
Confirmed Planet,8.9534775,2.6960000,1136.0000000,2.3588800,5029.5000000,4.6100000,0.7600000
False Positive,7.5022708,2.6050000,1760.0000000,5.5581200,6229.0000000,4.3100000,1.2700000
Planet Candidate,14.0077666,5.8727493,5924.8349672,12.4023108,6557.7000000,4.1800000,1.5743500
False Positive,1.6928920,2.8860000,1418.0000000,11.2371000,9121.5000000,4.2100000,2.1000000
False Positive,2.6652007,3.4900000,819.0000000,2.3596400,4043.4000000,4.6900000,0.5600000
Planet Candidate,1.2615323,1.0390000,2841.0000000,8.6740700,4927.9000000,4.5700000,0.7800000
Confirmed Planet,6.0344667,1.8900000,1800.0000000,4.4402900,5586.0000000,4.3676300,1.0500000
Confirmed Planet,9.6867516,2.5120000,1669.0000000,3.0033600,4738.1000000,4.5900000,0.7300000
Confirmed Planet,2.1031647,5.0590000,7142.0000000,16.7087000,6122.0000000,3.9300000,1.9300000
False Positive,7.6416041,2.6540000,6025.0000000,27.5380000,6496.7000000,,2.0500000
False Positive,5.9294088,2.9330000,10226.0000000,10.8101000,5095.6000000,,1.0600000
Confirmed Planet,5.7484439,1.7600000,1041.0000000,2.3521500,4534.0000000,4.6100000,0.6900000
False Positive,1.1967018,1.8790000,824.0000000,10.3239000,5997.0000000,4.0000000,1.7300000
False Positive,11.2464616,7.3910000,7576.0000000,17.6677000,6115.7000000,3.8900000,2.0100000
Planet Candidate,2.5941968,0.8610000,907.0000000,4.4722900,6389.0000000,4.2600000,1.4000000
False Positive,8.5112000,3.4860000,4172.7600000,,8156.0000000,4.3500000,
Planet Candidate,3.9687994,1.0700000,1760.0000000,,5286.9000000,,
Planet Candidate,5.5411114,2.4670000,633.0000000,2.0448200,5332.0000000,4.5642900,0.8200000
Planet Candidate,10.6917268,3.0020000,535.0000000,1.7981100,5332.0000000,4.5642900,0.8200000
